App ID;German;English;Translate
com.rituals.app.prod;;Allow Rituals to discover and connect to devices on the networks you use;Allow Rituals to discover and connect to devices on the networks you use
it.appideas.totaldownloader-free;;"TotalFree uses the local network to discover Cast-enabled devices on your WiFi
network.";"TotalFree uses the local network to discover Cast-enabled devices on your WiFi
network."
com.thetourtracker.cyclingnews;;Tour Tracker would like to use your local network to enable video streaming.;Tour Tracker would like to use your local network to enable video streaming.
fresh-ideas.DirtyBeijing;Eine lokale Netzwerkerlaubnis ist erforderlich, um Ihren Luftreiniger oder LuftqualitÃ¤tsmonitor einzurichten und sich mit ihm zu verbinden.;Local network permission is required to setup and connect to your air purifier or air quality monitor.;Local network permission is required to setup and connect to your air purifier or air quality monitor.
com.sygic.world;;Sygic requires access to the local network in order to establish a connection to your vehicle;Sygic requires access to the local network in order to establish a connection to your vehicle
com.more.dayzsurvival.ios;;Last Shelter: Survival will not connect to devices on your local network, it will only detect connectivity with your local gateway. You can revise the access setting in Settings > Privacy > Local Network.;Last Shelter: Survival will not connect to devices on your local network, it will only detect connectivity with your local gateway. You can revise the access setting in Settings > Privacy > Local Network.
de.tv.TV-Zeitung;Erlaube TV Zeitung Zugriff auf das lokale Netzwerk, um dich mit Google Cast-fÃ¤higen GerÃ¤ten zu verbinden.;;Allow TV newspaper access to the local network to connect to Google Cast-enabled devices.
com.atlassian.JitsiMeet.ios;;Local network is used for establishing Peer-to-Peer connections.;Local network is used for establishing Peer-to-Peer connections.
com.specure.nettest;Diese App stellt keine Verbindung zu GerÃ¤ten in Ihrem Netzwerk her, sie erkennt nur die KonnektivitÃ¤t mit Ihrem lokalen Gateway fÃ¼r den DNS-Test.;This app will not connect to devices on your network, it only detects the connectivity with your local gateway for the DNS test.;This app does not connect to devices in your network, it only recognizes the connectivity with its local gateway for the DNS test.
de.telekom.SmartHomeB2C;Magenta SmartHome muss auf dein lokales Netzwerk zugreifen kÃ¶nnen um nach deiner Zentrale zu suchen.;Magenta SmartHome needs to connect your local network to find your gateway.;Magenta SmartHome needs to connect your local network to find your gateway.
de.2kit.cast-browser-firetv;;"Please select 'OK' to allow discovering and connecting to your Fire TV on your local network (Wi-Fi).

Thank you.";"Please select 'OK' to allow discovering and connecting to your Fire TV on your local network (Wi-Fi).

Thank you."
com.wix.admin;Durch Zugriff auf diese Daten kÃ¶nnen Cast-fÃ¤hige GerÃ¤ten im WLAN-Netzwerk erkannt werden.;Access to this data will help discover Cast-enabled devices on your WiFi network;Access to this data will help discover Cast-enabled devices on your WiFi network
com.rhapsody.iphone.Napster3;ErmÃ¶glicht Chromecast die Verbindung.;Allows Chromecast to connect.;Allows Chromecast to connect.
de.rademacher.homepilot;HomePilot findet neue GerÃ¤te in Ihrem lokalen Netzwerk.;HomePilot will find new devices on your local network.;This app can scan the local network to find HomePilot devices.
com.trainerroad.ios;;Used to discover Wahoo Kickr indoor trainer devices with Wahoo Direct Connect;Used to discover Wahoo Kickr indoor trainer devices with Wahoo Direct Connect
de.avm.fritzapptv;Die FRITZ!App TV sucht nach TV-EmpfÃ¤ngern in Ihrem lokalen Netzwerk.;The FRITZ!AppÂ TV searches for TV tuners in your local network.;The FRITZ!App TV searches for TV tuners in your local network.
com.inverpac.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.wizconnected.wiz;Die WiZ-App muss GerÃ¤te in den von dir verwendeten WLAN-Netzwerken erkennen und sich mit ihnen verbinden;The WiZ app needs to discover and connect to devices on the Wi-Fi networks you use;WIZ program should detect devices in the Wi-Fi networks you use and connect to them
net.mbc.shahid-iphone;;Shahid uses the local network to discover Cast-enabled devices on your WiFi network.;Shahid uses the local network to discover Cast-enabled devices on your WiFi network.
com.evolvemedicalsystems.sbp;;SmartBP will be able to discover and connect to iPhone or iPad on the networks you use.;SmartBP will be able to discover and connect to iPhone or iPad on the networks you use.
de.gymondo.Gymondo;Diese App benÃ¶tigt deine Erlaubnis, um sich mit Chromecast zu verbinden.;This app needs permission to connect to Chromecast.;This app needs permission to connect to Chromecast.
tv.kartina.ios;;Kartina.TV uses the local network to discover Cast-enabled devices on your WiFi network.;"Kartina TV uses the local network to discover Cast-enabled devices on your WiFi
network."
com.mixvibes.cyclik;;Remixlive needs networking capabilities to connect via Ableton Link to other music apps.;Remixlive needs networking capabilities to connect via Ableton Link to other music apps.
de.eq3.pscc.HomematicIP;;We use your local network to transmit data between app and WLAN accesspoint.;We use your local network to transmit data between app and WLAN accesspoint.
videochatiOS90001;Wir brauchen diese Erlaubnis, um die QualitÃ¤t deines Netzwerks zu ermitteln und sicherzustellen, dass du einen stabile Verbindung hast.;We need this permission to ensure that you have the most stable connection. ;We need this permission to detect the quality of your network to ensure that you have a stable communication service.
ch.baum-software.songbook;;Connecting other SongBook apps to synchronize or send files;Connecting other SongBook apps to synchronize or send files
com.activision.callofduty.shooter;;The app checks your local network to optimize gameplay experience.;The app checks your local network to optimize gameplay experience.
com.netease.eve.en;Wir optimieren den Netzwerkverbindungsdienst basierend auf deinem lokalen Netzwerk, um dir ein komfortableres Spielerlebnis zu bieten.;We will optimize the network connection service based on your local network to provide you with more comfortable game experience.;We will optimize the network connection service based on your local network to provide you with more comfortable game experience.
com.yahoo.ffootball2009;;Yahoo Fantasy would like to find and connect to devices on your local network. This will allow the app to cast videos.;Yahoo Fantasy would like to find and connect to devices on your local network. This will allow the app to cast videos.
com.berlinphil.dch;Zum Abspielen Ã¼ber Chromecast benÃ¶tigt die Digital Concert Hall Zugriff auf das lokale Netzwerk.;Digital Concert Hall needs access to your local network to play media on Chromecast devices.;Digital Concert Hall needs access to your local network to play media on Chromecast devices.
com.amazon.aiv.AIVApp;Prime Video verwendet das lokale Netzwerk, um Ã¼bertragungsfÃ¤hige GerÃ¤te in Ihrem WLAN-Netzwerk zu finden.;Prime Video uses the local network to discover Cast-enabled devices on your Wi-Fi network.;Prime video uses a local network to search for transmissions on Wi -Fi networks.
com.dm-holdings.denon-live;Dies ist fÃ¼r die Wiedergabe von Musik auf Ihren GerÃ¤ten mit HEOS Built-in erforderlich.;This is required to play music on your device(s) with HEOS Built-in.;Required to play music on your devices.
com.earlystudio.esound;;Use the local network to discover Cast-enabled devices on WiFi network.;Use the local network to discover Cast-enabled devices on WiFi network.
com.wooxhome.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.aljazeera.mobile;;AlJazeeraMobile uses the local network to discover Cast-enabled devices on your WiFi network.;AlJazeeraMobile uses the local network to discover Cast-enabled devices on your WiFi network.
com.rainbird.Mobile;;Rain Bird requires local network usage to determine the LNK IP address;Rain Bird requires local network usage to determine the LNK IP address
com.fandom.app;;Network access required;Network access required
com.justwatch.justwatch;Wir benÃ¶tigen deine Erlaubnis, um in deinem lokalen Netzwerk nach GerÃ¤ten zu suchen, die Cast unterstÃ¼tzen.;We need your permission to discover Cast-enabled devices on your WiFi network;We need your permission to discover Cast-enabled devices on your WiFi network
de.2kit.cast-browser;;"Please select 'OK' to allow discovering and connecting to your Chromecast on your local network (Wi-Fi).

Thank you.";"Please select 'OK' to allow discovering and connecting to your Chromecast on your local network (Wi-Fi).

Thank you."
de.lupus-electronics.Lupusec;Zum Zugrff auf Ihre LUPUS GerÃ¤te;;To access your lupus devices
com.fungames.colorfy;;Colorfy uses the local network to get new images for you.;Colorfy uses the local network to get new images for you.
com.abishkking.sixpack;;Visit local network.;Visit local network.
com.pluralsight.pluralsight;;Pluralsight uses the local network for casting and Apple TV authentication;Pluralsight uses the local network for casting and Apple TV authentication
com.NewspaperDirect.PRiphone;;Looking for local tcp Bonjour service;Looking for local tcp Bonjour service
de.antenne1.iphoneapp;Wir verwenden das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in deinem WiFi-Netzwerk zu erkennen.;We use the local network to discover Cast-enabled devices on your WiFi network.;We use the local network to discover Cast-enabled devices on your WiFi network.
com.traeger.wifire;We need access to your Home WiFI in order to connect to your grill and turn on the power of WiFIRE.;We need access to your Home WiFI in order to connect to your grill and turn on the power of WiFIRE.;We need access to your Home WiFI in order to connect to your grill and turn on the power of WiFIRE.
de.couchfunk.TV-Programm;Erlaube TV Programm Zugriff auf das lokale Netzwerk, um dich mit Google Cast-fÃ¤higen GerÃ¤ten zu verbinden.;;Allow TV program access to the local network to connect to Google Cast-enabled devices.
jp.co.canon.ic.cameraconnect;Um eine Verbindung zur Kamera herzustellen, erteilen Sie die Berechtigung zur Nutzung des lokalen Netzwerks.;To connect to the camera, grant permission to use the local network.;To connect to the camera, give it a local network permission.
com.yunyi.smartcamera;You can connect devices using a local network;You can connect devices using a local network;You can connect your device using your local network
eu.thalia.app;;Atlantis would use Bonjour Service to discover Proxyman app from your local network.;Atlantis would use Bonjour Service to discover Proxyman app from your local network.
com.amp.ios;;We use local network to discover parties around you and sync your devices.;We use local network to discover parties around you and sync your devices.
com.dlink.mydlinkunified;;Please give the app local network access by going to Settings > Privacy > Local Network > mydlink;Please give the app local network access by going to Settings > Privacy > Local Network > mydlink
com.brother.iPrint-Label;Erforderlich, um Ihr GerÃ¤t zu erkennen und zu verbinden;Required to search for and connect to your printer;Used to search and connect device
com.amazon.echo;So kannst du dein lokales Netzwerk verwenden, um GerÃ¤te einzurichten und die Ãœbertragungsgeschwindigkeit von Sprach- und Videoanrufen zu erhÃ¶hen.;This will allow you to use your local network to set up devices and increase the speed of voice and video calls.;This will allow you to use your local network for Drop In, voice and video calls.
com.wolow;;Wolow uses the local network to send Wake on LAN requests and to get devices awake status;Wolow uses the local network to send Wake on LAN requests and to get devices awake status
tv.yokee.karaoke;;Play karaoke songs on your smart TV;Play karaoke songs on your smart TV
com.mubi.mubiapp;;MUBI uses the local network to discover Cast-enabled devices on your WiFi network.;MUBI uses the local network to discover Cast-enabled devices on your WiFi network.
de.sky.skyonline;Die WOW App benÃ¶tigt deine Zustimmung, um sich mit Chromecast GerÃ¤ten in deinem Netzwerk verbinden zu kÃ¶nnen.;;The WoW app needs your consent to be able to connect to Chromecast devices in your network.
com.plus-add.piascore;Used to connect with other devices for sync page turning;Used to connect with other devices for sync page turning;Used to connect with other devices for sync page turning
org.whispersystems.signal;Signal verwendet das lokale Netzwerk, um dein Benutzerkonto direkt auf ein neues Mobiltelefon zu Ã¼bertragen. Es wird nur dann verwendet, wenn du ausdrÃ¼cklich eine Ãœbertragung auf ein neues GerÃ¤t einleitest.;Signal uses the local network to allow you to directly transfer your account to a new phone. It will not be used unless you explicitly choose to initiate a transfer to a new device.;Signal uses the local network to allow you to directly transfer your account to a new phone. It will not be used unless you explicitly choose to initiate a transfer to a new device.
com.ClassDojo;Aktivieren Sie die lokale Netzwerkberechtigung fÃ¼r AirPlay-Videos auf anderen GerÃ¤ten.;Enable the local network permission to AirPlay videos to other devices.;Enable the local network permission to AirPlay videos to other devices.
perfectcorp.YouCamNail;;;flutter debug
com.live.juicy;;Use Local Network so that improves users experiences.;Use Local Network so that improves users experiences.
de.cyberfitness.CyberFitness;Chromecast benÃ¶tigt Zugriff auf das lokale Netzwerk um AbspielgerÃ¤te finden zu kÃ¶nnen.;Chromecast requires local network access to find players.;Chromecast requires local network access to find players.
tv.pluto.ios;;"Pluto TV uses the local network to discover Cast-enabled devices on your WiFi
network.";"Pluto TV uses the local network to discover Cast-enabled devices on your WiFi
network."
com.ring;So kann die Ring-App eine Verbindung zu deinem Ring-GerÃ¤t herstellen und es einrichten.;This lets the Ring app connect to and set up your Ring device.;This lets the Ring app connect to and set up your Ring device.
com.redbull.ServusTV;Die App verwendet das lokale Netzwerk, um Cast-fÃ¤hige GerÃ¤te in Ihrem WLAN-Netzwerk zu erkennen;The local network is used to discover Cast-enabled devices on your WiFi network;ServusTV On uses the local network to discover Cast-enabled devices on your WiFi network.
co.yogabuddhi.YogaBuddhi.Meditation;;Down Dog uses the local network to discover available Chrome Cast devices.;Down Dog uses the local network to discover available Chrome Cast devices.
it.ideasolutions.amerigo-free;;"AmerigoFree uses the local network to discover Cast-enabled devices on your WiFi
            network.";"AmerigoFree uses the local network to discover Cast-enabled devices on your WiFi
            network."
com.netease.ko;;Knives Out obtain information about the current network quality of the player's device, allowing us to troubleshoot any abnormalities in the player's network.;Knives Out obtain information about the current network quality of the player's device, allowing us to troubleshoot any abnormalities in the player's network.
com.abus.app2camplus.apns;;App have to user local network to connect your camera.;App have to user local network to connect your camera.
com.lampux.ledbrighter;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
com.playstation.psremoteplay;Diese App verbindet sich Ã¼ber das lokale Netzwerk mit deiner PS5 oder PS4.;This app will connect to your PS5 or PS4 on the local network.;This app connects to your PS5 or PS4 in the local network.
com.yogaglo.main;;"Glo uses the local network to discover Chromecast-enabled devices on your WiFi
    network.";"Glo uses the local network to discover Chromecast-enabled devices on your WiFi
    network."
com.hipsterwhale.crossy;Crossy Road nutzt das lokale Netzwerk, um sich mit deinem Apple TV zu verbinden.;Crossy Road uses the local network to connect with your Apple TV.;Crossy Road uses the local network to connect to your Apple TV.
com.google.GoogleBooks;Google Play BÃ¼cher verwendet das lokale Netzwerk, um HÃ¶rbÃ¼cher auf fÃ¼r Google Cast optimierten GerÃ¤ten abzuspielen.;Google Play Books uses the local network to play audiobooks on Cast-enabled devices.;Google Play Books uses the local network to play audiobooks on Cast-enabled devices.
com.parrot.freeflight6;;FreeFlight 6 requires access to your local network to detect your drone over WiFi;FreeFlight 6 requires access to your local network to detect your drone over WiFi
tv.twitch;Twitch verwendet das lokale Netzwerk, um GerÃ¤te in deinem WLAN zu finden, die fÃ¼r Ãœbertragungen freigeschaltet sind.;Twitch uses the local network to discover Cast-enabled devices on your WiFi network.;Twitch uses the local network to discover Cast-enabled devices on your WiFi network.
com.icc-cricket.cwc;;This app allows you to stream video to devices on your network.;This app allows you to stream video to devices on your network.
mobi.digitalminds.itunerfree;;"myTuner uses the local network to discover Cast-enabled devices on your WiFi
network.";"myTuner uses the local network to discover Cast-enabled devices on your WiFi
network."
com.disney.disneyplus;Dies ermÃ¶glicht es Disney+, eine Verbindung zu EndgerÃ¤ten (wie z.B. Chromecast-GerÃ¤ten) in deinem lokalen Netzwerk herzustellen und darÃ¼ber zu streamen.;This will allow Disney+ to connect and stream to devices such as Chromecast on your local network.;This will allow Disney+ to connect and stream to devices such as Chromecast on your local network.
com.cisco.hnbu.connectcloud;Dadurch kÃ¶nnen wir Ã¼ber sein lokales WLAN-Netzwerk mit Ihrem Router kommunizieren.;This allows us to communicate with your router using its local Wi-Fi network.;This allows us to communicate with your router using its local Wi-Fi network.
com.technogym.mywellness.myaspria;;Used to discover Cast-enabled devices on your WiFi;Used to discover Cast-enabled devices on your WiFi
cat.fcbarcelona.FCBMobile;;"FCB uses the local network to discover Cast-enabled devices on your WiFi
    network.";"FCB uses the local network to discover Cast-enabled devices on your WiFi
    network."
de.prosiebensat1digital.seventv;Wenn du Joyn mit Chromecast nutzen mÃ¶chtest, musst du der App erlauben, in deinem WLAN nach GerÃ¤ten zu suchen und sich damit zu verbinden.;;If you want to use Joyn with Chromecast, you have to allow the app to search for devices in your WLAN and connect with it.
com.fungames.tennisclash;;This app connects to your local network to help with connection diagnostics;This app connects to your local network to help with connection diagnostics
com.hp.printer.control;HP Smart verwendet das lokale Netzwerk, um nach verfÃ¼gbaren Druckern in Ihrem Netzwerk zu suchen.;HP Smart uses the Local Network to find available printers on your network.;HP Smart uses the Local Network to find available printers on your network.
com.worx.landroid-remote-2018;Es wird ein lokaler Netzwerkzugang benÃ¶tigt, um eine erfolgreiche Verbindung Ihres MÃ¤hers mit dem Wi-Fi-Netzwerk herzustellen.;Local network access is needed to detect a successful connection of your mower to the Wi-Fi network;Access to a local network is needed to detect if your lawnmower is connected to the WiFi network.
com.dailymotion.dailymotion;Damit Sie Videos Ã¼bertragen kÃ¶nnen, mÃ¶chte Dailymotion GerÃ¤te in Ihrem lokalen Netzwerk finden und eine Verbindung zu ihnen herstellen.;To let you cast videos, Dailymotion would like to find and connect to devices on your local network.;To let you cast videos, Dailymotion would like to find and connect to devices on your local network.
com.nfl.fantasy.core;;The NFL Fantasy app uses the local network to discover Cast-enabled devices on your WiFi network.;The NFL Fantasy app uses the local network to discover Cast-enabled devices on your WiFi network.
com.abus.appshc;;App need to connect your device;App need to connect your device
jp.co.yamaha.avkk.musiccastcontroller;Diese App greift auf Ihr Heimnetzwerk zu, um Ihre MusicCast-GerÃ¤te zu steuern.;This app accesses your home network in order to control your MusicCast device(s).;This app accesses the home network to control MusicCast device(s).
com.intsig.CamScannerLite;;;
com.vhx.worldofwonder;;WOWPresentsPlus uses the local network to discover Cast-enabled devices on your WiFi network.;WOWPresentsPlus uses the local network to discover Cast-enabled devices on your WiFi network.
com.quvideo.VISO;;Tempo want to require Local network to echo;Tempo want to require Local network to echo
jp.co.canon.bsd.iphone.PIXMA-Print;ãƒ—ãƒªãƒ³ã‚¿ãƒ¼ã®æ¤œç´¢ã‚„å°åˆ·ã‚’ã™ã‚‹ãŸã‚ã«ã€ãƒ­ãƒ¼ã‚«ãƒ«ãƒãƒƒãƒˆãƒ¯ãƒ¼ã‚¯ã¸ã®ã‚¢ã‚¯ã‚»ã‚¹è¨±å¯ãŒå¿…è¦ã§ã™ã€‚(ä»®DE);In order to search for printers and to print, you must grant local network access.;In order to search for printers and to print, you must grant local network access.
cc.coolkit.ios.cn;eWeLink uses the local network to discover, add and control devices.;eWeLink uses the local network to discover, add and control devices.;eWeLink uses the local network to discover, add and control devices.
com.broadbandspeedchecker.speedchecker;;In order to perform Wi-Fi speed test we require access to Local Network.;In order to perform Wi-Fi speed test we require access to Local Network.
com.dm-holdings.De2014AVR;Diese App kann AV-Receiver in Netzwerken, die du verwendest, entdecken und eine Verbindung herstellen.;This app will be able to discover and connect to your AV Receivers on the networks you use.;This app will be able to discover and connect to your AV Receivers on the networks you use.
com.kingsoft.office.g.wpsoffice;FÃ¼r die Verwendung von LAN-Ãœbertragung oder Projektionsfunktionen ist eine lokale Netzwerkberechtigung erforderlich;Local network permission is required to use LAN transmission or projection features;Local network permissions are required to use the local area network transmission or projection function
com.fileee.iphone;;Network access required;Network access required
com.instantbits.cast.webvideo;WebVideoCaster benÃ¶tigt Zugriff auf das lokale Netzwerk, um eine Verbindung mit Streaming-GerÃ¤ten in Ihrem Netzwerk herzustellen.;WebVideoCaster needs access to the local network to connect with streaming devices in your network.;WebVideoCaster needs access to the local network to connect with streaming devices in your network.
de.2kit.Screen-Mirroring-Free;;"Please select 'OK' to allow discovering and connecting to your Chromecast on your local network (Wi-Fi).

Thank you.";"Please select 'OK' to allow discovering and connecting to your Chromecast on your local network (Wi-Fi).

Thank you."
com.audials.AudialsHTML5;;"This app uses the local network to discover Cast-enabled devices on your WiFi
network.";"This app uses the local network to discover Cast-enabled devices on your WiFi
network."
com.apptionlabs.meater;MEATER kommuniziert mit MEATER-GerÃ¤ten Ã¼ber Dein lokales WLAN.;MEATER needs WiFi access to use all app features;MEATER needs WiFi access to use all app features
de.busch-jaeger.welcome-ispf;Die Welcome App nutzt das lokale Netzwerk, um GerÃ¤te in Ihrer Umgebung zu erkennen;Welcome App uses the local network to discovery devices around you.;Welcome App uses the local network to discovery devices around you.
com.blizzard.wtcg.hearthstone;;Find players on your local network and show them in your friends list;Find players on your local network and show them in your friends list
tv.standard.watch;;"Nebula uses the local network to connect to Chromecast devices around you.
network.";"Nebula uses the local network to connect to Chromecast devices around you.
network."
com.linecorp.b612;;B612 uses the local network to search for PCs around you.;B612 uses the local network to search for PCs around you.
com.honeywell.acs.lyric;;Allow Lyric to access local network services to configure devices;Allow Lyric to access local network services to configure devices
com.kairos.duet;Duet verwendet ein lokales Netzwerk um eine Verbindung mit einem PC herzustellen.;Duet uses the local network to speak with your desktop computers.;Duet uses the local network to speak with your desktop computers.
com.meross.Meross;Bitte gewÃ¤hren Sie der App den Zugriff auf das lokale Netzwerk, da sie sonst nicht in der Lage ist Ihre GerÃ¤te lokal einzurichten und zu verwalten.;Please grant the app access to Local Network, or it will be blocked to set up and manage your devices locally.;Please approve to allow App to find and control devices through local network.
de.kika.kikaplayer;kikaplayer benutzt ihr lokales Netzwerk um auf Chromecast-GerÃ¤te zu streamen.;;Kikaplayer uses your local network to stream on Chromecast devices.
com.panasonic.jp.ACCsmart;"â€žComfort Cloudâ€œ mÃ¶chte GerÃ¤te in Ihrem lokalen Netzwerk suchen und Verbindungen mit diesen herstellen.
Erteilen Sie die Berechtigung, das lokale Netzwerk zu verwenden, um die WLAN-Verbindung des KlimagerÃ¤ts mit â€žComfort Cloudâ€œ einzustellen.";"â€œComfort Cloudâ€ would like to find and connect to devices on your local network.
Allow the use of the local network to set the wireless LAN connection of the air conditioner with ""Comfort Cloudâ€œ.";"â€œComfort Cloudâ€ would like to find and connect to devices on your local network.\nAllow the use of the local network to set the wireless LAN connection of the air conditioner with \""Comfort Cloudâ€œ."
com.bimmerlink.BimmerLinkCoder;BimmerCode benÃ¶tigt Zugriff auf das lokale Netzwerk, um eine Verbinung zu deinem Fahrzeug mit einem WLAN OBD-Adapter oder ENET-Kabel herzustellen.;BimmerCode requires access to the local network to connect to your car using a Wi-Fi OBD adapter or an ENET cable.;BimmerCode requires access to the local network to connect to a Wi-Fi adapter or ENET cable.
com.bloomberg.Bloomberg;;Bloomberg uses the local network to discover Cast-enabled devices on your WiFi network.;Bloomberg uses the local network to discover Cast-enabled devices on your WiFi network.
com.fitbit.FitbitMobile;;Fitbit uses the local network to discover Cast-enabled devices on your WiFi.;Fitbit uses the local network to discover Cast-enabled devices on your WiFi.
com.masterclass.production;;MasterClass uses the local network to discover Google Cast devices on your Wi-Fi network.;MasterClass uses the local network to discover Google Cast devices on your Wi-Fi network.
Outils-OBD-Facile.EOBD-Facile;WiFi of your device is necessary to communicate with Electronic interface needed for the diagnosis;WiFi of your device is necessary to communicate with Electronic interface needed for the diagnosis;WiFi of your device is necessary to communicate with Electronic interface needed for the diagnosis
com.air-watch.boxer;Boxer benÃ¶tigt Zugriff auf das Netzwerk, um mit Ihrem E-Mail-Server und/oder mit der Workspace ONE UEM console zu kommunizieren.;Boxer requires access to the network to communicate with your email server(s) and/or Workspace ONE UEM console.;Boxer requires access to the network to communicate with your email server(s) and/or Workspace ONE UEM console.
com.elex-tech.ClashOfKings;Besserer Zugriff auf das Netzwerk und Verbesserung der Netzwerkverbindungseffizienz, sodass Spieler sich schneller mit dem Spielserver verbinden kÃ¶nnen;Better access to network and improve network connection efficiency, allowing players to connect to the game server more quickly;Better access to network and improve network connection efficiency, allowing players to connect to the game server more quickly.
imoimiphone;;imo uses local network to make calls with your friends nearby;imo uses local network to make calls with your friends nearby
com.bitdefender.connect.mgmt;Diese Berechtigung dient der Ermittlung und dem Aufbau von Verbindungen mit GerÃ¤ten in den von Ihnen verwendeten Netzwerken.;This permission is required to discover and connect to devices on the networks you use.;This permission is required to discover and connect to devices on the networks you use.
com.tplink.tether;FÃ¼r die GerÃ¤teeinrichtung und die lokale Verwaltung benÃ¶tigt Tether die Berechtigung GerÃ¤te in den von Ihnen verwendeten Netzwerken zu finden und mit diesen zu kommunizieren.;For device setup and local management, Tether needs the Local Network permission to find and communicate with devices on the networks you use.;For device setup and local management, Tether needs the Local Network permission to find and communicate with devices on the networks you use.
com.philips.src.hss;SleepMapper fragt die Berechtigung an zur Verwendung des lokalen Netzwerks an ;SleepMapper would like to use local network permission ;SleepMapper would like to use local network permission
com.ifttt.ifttt;Network usage is required for macOS/iOS communication;Network usage is required for macOS/iOS communication;Network usage is required for macOS/iOS communication
com.ricoh.theta2;Stellen Sie eine Verbindung zur Kamera her, um Aufnahmen aufzunehmen und Bilder zu Ã¼bertragen.;Connect to the camera to perform shooting and transfer images.;Connect to the camera to perform shooting and transfer images.
com.gopro.GoPro;Apple benÃ¶tigt diese Berechtigung, um eine Verbindung mit deiner GoPro herzustellen.;Apple requires this permission to connect to your GoPro.;Apple requires this permission to connect to your GoPro.
com.im30.ROE;;Rise of Empires will not connect to devices on your local network,it will only detect connectivity with your local gateway.You can revise the access setting in Settings > Privacy > Local Network.;Rise of Empires will not connect to devices on your local network,it will only detect connectivity with your local gateway.You can revise the access setting in Settings > Privacy > Local Network.
com.kostal.solarapp.ios;;Exchange data with nearby Ksem devices;Exchange data with nearby Ksem devices
com.zwift.ZwiftGame;;The device will be able to discover and connect to fitness and mobile devices on networks you use to allow interaction with the Zwift game world.;The device will be able to discover and connect to fitness and mobile devices on networks you use to allow interaction with the Zwift game world.
com.frontier-silicon.UNDOK;;UNDOK requires this permission in order to configure or detect the speakers connected to your Wi-Fi network;UNDOK requires this permission in order to configure or detect the speakers connected to your Wi-Fi network
com.FenderDigital.Play;;Fender Play would like access to your Wi-Fi network in order to enable Chromecast.;Fender Play would like access to your Wi-Fi network in order to enable Chromecast.
aero.skydemon.skydemonipad;;SkyDemon uses your local network to access third-party GPS and traffic receivers.;SkyDemon uses your local network to access third-party GPS and traffic receivers.
com.tencent.xin;Wenn dies nicht zulÃ¤ssig ist, kÃ¶nnen Sie Funktionen wie das Migrieren des Chatverlaufs oder das TÃ¤tigen von Sprach-/Videoanrufen nicht nutzen.;If not allowed, you will be unable to use features such as migrating chat history, making voice/video calls, or live screen mirroring.;This app will be able to discover and connect to devices on the networks you use.
cloudbeats.lite;;CloudBeats uses the local network to discover Chromecast-enabled devices on your WiFi network.;CloudBeats uses the local network to discover Chromecast-enabled devices on your WiFi network.
com.alohabrowser.alohabrowser;Aloha Browser benutzt das lokale Netzwerk, um Ã¼bertragungsfÃ¤hige GerÃ¤te in Ihrem WLAN-Netzwerk zu finden;Aloha Browser uses the local network to discover Cast-enabled devices on your Wi-Fi network;Aloha Browser uses the local network to discover Cast-enabled devices on your Wi-Fi network
com.dogbyte.offtheroad;;Off The Road uses the local network to discover players around you.;Off The Road uses the local network to discover players around you.
de.zdf.mediathek.universal;ZDF verwendet das lokale Netzwek zur Erkennung von Google Cast GerÃ¤ten.;;ZDF uses the local network to detect Google Cast devices.
gov.nasa.NASA;;The NASA app uses the local network to connect to Cast-enabled devices on your WiFi network.;The NASA app uses the local network to connect to Cast-enabled devices on your WiFi network.
com.vimeo;;Vimeo uses the local network to discover Cast-enabled devices on your WiFi.;Vimeo uses the local network to discover Cast-enabled devices on your WiFi.
com.airvisual.airvisual;Diese App ist in der Lage, GerÃ¤te in den von Ihnen verwendeten Netzwerken zu erkennen und sich mit diesen zu verbinden.;This app will be able to discover and connect to device on the networks you use.;This app will be able to discover and connect to device on the networks you use.
com.lidlhome.smart;Der Zweck der App, die eine Verbindung zum lokalen Netzwerk herstellt: Aktivieren Sie das Pairing und die Steuerung der GerÃ¤te, die mit dem lokalen Netzwerk verbunden sind;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network;The purpose of the app connecting to the local network: enable pairing and control of the devices connected to the local area network
co.steezy.Steezy;;Steezy uses the local network to discover Cast-enabled devices on your WiFi network.;Steezy uses the local network to discover Cast-enabled devices on your WiFi network.
